fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,alcohol_scaled,volatile_scaled,sulphates_scaled,citric_acid_scaled,alc_minus_volatile_scaled
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,0.13846153846153864,0.18493150684931509,0.13772455089820365,0.16,-0.04646996838777645
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,0.1692307692307693,0.19863013698630133,0.155688622754491,0.24,-0.029399367755532035
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,0.1692307692307693,0.21232876712328763,0.34730538922155696,0.21,-0.043097997892518336
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,0.15384615384615397,0.40410958904109584,0.1317365269461078,0.0,-0.2502634351949419
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6,0.2153846153846155,0.3595890410958904,0.155688622754491,0.0,-0.1442044257112749
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,0.2615384615384615,0.3801369863013699,0.125748502994012,0.07,-0.11859852476290839
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6,0.33846153846153837,0.386986301369863,0.1437125748502994,0.0,-0.04852476290832464
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,0.2153846153846155,0.3664383561643836,0.1976047904191617,0.12,-0.15105374077976808
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,0.15384615384615397,0.3321917808219178,0.1137724550898204,0.12,-0.17834562697576384
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,0.12307692307692308,0.136986301369863,0.1317365269461078,0.25,-0.013909378292939922
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,0.18461538461538463,0.3595890410958904,0.1317365269461078,0.0,-0.17497365648050578
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,0.36923076923076925,0.3287671232876712,0.1616766467065868,0.14,0.04046364594309804
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,0.19999999999999996,0.1780821917808219,0.2395209580838323,0.28,0.021917808219178048
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,4,0.2153846153846155,0.6917808219178081,0.08982035928143708,0.09,-0.4763962065331926
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,0.32307692307692304,0.226027397260274,0.29940119760479045,0.36,0.09704952581664905
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,0.32307692307692304,0.226027397260274,0.29940119760479045,0.36,0.09704952581664905
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,0.13846153846153864,0.33561643835616434,0.10778443113772454,0.3,-0.1971548998946257
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,6,0.32307692307692304,0.25342465753424653,0.3413173652694611,0.2,0.0696522655426765
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,0.2923076923076924,0.3698630136986301,0.5209580838323353,0.22,-0.07755532139093774
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,0.1692307692307693,0.3767123287671233,0.1137724550898204,0.02,-0.207481559536354
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,4,0.723076923076923,0.273972602739726,0.13772455089820365,0.15,0.44910432033719694
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,0.12307692307692308,0.5582191780821918,0.2395209580838323,0.43,-0.4351422550052687
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5,0.1692307692307693,0.11643835616438356,0.1497005988023952,0.52,0.05279241306638574
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,0.12307692307692308,0.1917808219178082,0.13772455089820365,0.23,-0.06870389884088512
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,0.12307692307692308,0.13013698630136986,0.1497005988023952,0.37,-0.007060063224446772
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,0.12307692307692308,0.3698630136986301,0.24550898203592816,0.26,-0.24678609062170703
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,0.15384615384615397,0.273972602739726,0.17964071856287425,0.04,-0.12012644889357205
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,0.15384615384615397,0.2602739726027397,0.18562874251497005,0.04,-0.10642781875658575
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,0.15384615384615397,0.1780821917808219,0.13772455089820365,0.36,-0.024236037934667942
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,0.2769230769230768,0.2671232876712329,0.17964071856287425,0.15,0.009799789251843938
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,0.1692307692307693,0.3424657534246575,0.1197604790419162,0.04,-0.17323498419388822
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,0.18461538461538463,0.2054794520547945,0.17964071856287425,0.57,-0.020864067439409884
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,0.15384615384615397,0.3493150684931507,0.26347305389221565,0.12,-0.19546891464699673
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,0.24615384615384617,0.32191780821917804,0.155688622754491,0.18,-0.07576396206533187
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,0.15384615384615397,0.18493150684931509,0.125748502994012,0.31,-0.03108535300316112
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,0.12307692307692308,0.1917808219178082,0.18562874251497005,0.4,-0.06870389884088512
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,0.13846153846153864,0.39041095890410954,0.2275449101796407,0.49,-0.2519494204425709
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,0.1692307692307693,0.273972602739726,0.17365269461077845,0.16,-0.10474183350895672
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,0.2153846153846155,0.4212328767123288,0.1437125748502994,0.05,-0.20584826132771328
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,0.3846153846153846,0.41438356164383555,0.035928143712574856,0.05,-0.02976817702845097
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,0.3846153846153846,0.41438356164383555,0.035928143712574856,0.05,-0.02976817702845097
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,0.18461538461538463,0.273972602739726,0.1497005988023952,0.11,-0.08935721812434139
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,0.3538461538461537,0.40068493150684925,0.1497005988023952,0.07,-0.04683877766069555
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,0.3538461538461537,0.136986301369863,0.27544910179640725,0.57,0.2168598524762907
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,0.32307692307692304,0.40068493150684925,0.37125748502994016,0.05,-0.07760800842992621
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,0.1692307692307693,0.3493150684931507,0.125748502994012,0.08,-0.1800842992623814
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,0.1692307692307693,0.3767123287671233,0.08982035928143708,0.23,-0.207481559536354
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,0.1692307692307693,0.39041095890410954,0.08982035928143708,0.22,-0.22118018967334024
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,0.12307692307692308,0.3801369863013699,0.1197604790419162,0.26,-0.2570600632244468
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5,0.18461538461538463,0.136986301369863,0.2934131736526946,0.54,0.04762908324552162
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,0.32307692307692304,0.19863013698630133,0.1976047904191617,0.64,0.12444678609062171
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,0.32307692307692304,0.19863013698630133,0.1976047904191617,0.64,0.12444678609062171
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,0.3538461538461537,0.45547945205479456,0.1317365269461078,0.0,-0.10163329820864087
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,0.2615384615384615,0.43150684931506844,0.1137724550898204,0.12,-0.16996838777660694
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,4,0.10769230769230775,0.3458904109589041,0.47305389221556904,0.2,-0.23819810326659635
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,0.12307692307692308,0.226027397260274,0.13772455089820365,0.2,-0.1029504741833509
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,5,0.15384615384615397,0.21232876712328763,0.5688622754491018,0.7,-0.058482613277133666
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,0.10769230769230775,0.2602739726027397,0.1437125748502994,0.47,-0.15258166491043196
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,5,0.15384615384615397,0.3767123287671233,0.4850299401197605,0.26,-0.22286617492096933
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,0.2923076923076924,0.1232876712328767,0.2694610778443114,0.48,0.16902002107481567
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,0.2615384615384615,0.2945205479452055,0.155688622754491,0.15,-0.03298208640674399
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,0.23076923076923084,0.25342465753424653,0.9700598802395209,0.28,-0.022655426765015696
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,0.18461538461538463,0.25342465753424653,0.18562874251497005,0.26,-0.06880927291886191
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,0.1692307692307693,0.18493150684931509,0.532934131736527,0.44,-0.01570073761854579
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,0.0923076923076922,0.3424657534246575,0.1197604790419162,0.08,-0.2501580611169653
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,0.1692307692307693,0.273972602739726,0.125748502994012,0.26,-0.10474183350895672
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,0.23076923076923084,0.25342465753424653,0.9700598802395209,0.28,-0.022655426765015696
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,5,0.2153846153846155,0.25342465753424653,0.9880239520958084,0.29,-0.038040042149631026
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,0.18461538461538463,0.25342465753424653,0.18562874251497005,0.26,-0.06880927291886191
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,4,0.32307692307692304,0.6164383561643836,0.08982035928143708,0.04,-0.29336143308746054
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,6,0.6923076923076923,0.3287671232876712,0.1616766467065868,0.17,0.3635405690200211
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,0.3538461538461537,0.4486301369863014,0.13772455089820365,0.0,-0.09478398314014769
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5,0.12307692307692308,0.2602739726027397,0.17964071856287425,0.25,-0.13719704952581663
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,0.2153846153846155,0.5342465753424658,0.13772455089820365,0.06,-0.31886195995785027
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,0.0923076923076922,0.2910958904109589,0.155688622754491,0.18,-0.1987881981032667
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,0.2769230769230768,0.33561643835616434,0.16766467065868265,0.3,-0.05869336143308751
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,0.3076923076923077,0.2602739726027397,0.13772455089820365,0.3,0.047418335089568
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,0.0923076923076922,0.2910958904109589,0.155688622754491,0.18,-0.1987881981032667
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,0.12307692307692308,0.3116438356164383,0.10778443113772454,0.22,-0.18856691253951524
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,0.15384615384615397,0.25342465753424653,0.08982035928143708,0.24,-0.09957850368809257
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,0.12307692307692308,0.3116438356164383,0.10778443113772454,0.22,-0.18856691253951524
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,5,0.13846153846153864,0.19863013698630133,0.5868263473053893,0.68,-0.060168598524762695
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,0.13846153846153864,0.3493150684931507,0.27544910179640725,0.31,-0.21085353003161206
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6,0.18461538461538463,0.14383561643835616,0.281437125748503,0.53,0.04077976817702847
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,0.13846153846153864,0.45547945205479456,0.21556886227544905,0.52,-0.31701791359325593
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,0.1692307692307693,0.30136986301369867,0.35928143712574856,0.19,-0.13213909378292937
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,0.2153846153846155,0.3424657534246575,0.1976047904191617,0.09,-0.127081138040042
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,0.2153846153846155,0.3287671232876712,0.1976047904191617,0.1,-0.11338250790305571
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,0.19999999999999996,0.13013698630136986,0.2035928143712575,0.44,0.0698630136986301
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,0.1692307692307693,0.30136986301369867,0.35928143712574856,0.19,-0.13213909378292937
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,0.32307692307692304,0.1917808219178082,0.17964071856287425,0.31,0.13129610115911483
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,0.24615384615384617,0.2876712328767123,0.16766467065868265,0.28,-0.041517386722866145
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,0.15384615384615397,0.30136986301369867,0.10179640718562874,0.12,-0.1475237091675447
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,0.3846153846153846,0.2945205479452055,0.1616766467065868,0.04,0.09009483667017909
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,6,0.12307692307692308,0.39041095890410954,0.125748502994012,0.08,-0.26733403582718646
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,5,0.0923076923076922,0.6506849315068494,0.1437125748502994,0.09,-0.5583772391991572
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,0.3846153846153846,0.2945205479452055,0.1616766467065868,0.04,0.09009483667017909
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,0.12307692307692308,0.39383561643835613,0.1137724550898204,0.0,-0.27075869336143304
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,0.1692307692307693,0.40410958904109584,0.1197604790419162,0.0,-0.23487881981032654
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,0.1692307692307693,0.2602739726027397,0.08982035928143708,0.17,-0.09104320337197042
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,5,0.15384615384615397,0.3424657534246575,0.2215568862275449,0.04,-0.18861959957850355
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,0.3846153846153846,0.8287671232876712,0.09580838323353294,0.0,-0.44415173867228663
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5,0.3846153846153846,0.8287671232876712,0.08982035928143708,0.0,-0.44415173867228663
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,0.32307692307692304,0.32191780821917804,0.3532934131736528,0.16,0.0011591148577450028
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,0.15384615384615397,0.1780821917808219,0.1437125748502994,0.15,-0.024236037934667942
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,0.15384615384615397,0.42808219178082185,0.1976047904191617,0.56,-0.2742360379346679
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,0.7076923076923076,0.2602739726027397,0.17964071856287425,0.09,0.4474183350895679
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,0.7076923076923076,0.2602739726027397,0.17964071856287425,0.09,0.4474183350895679
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,0.2153846153846155,0.2602739726027397,0.1497005988023952,0.01,-0.044889357218124204
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,0.23076923076923084,0.6301369863013698,0.1317365269461078,0.05,-0.399367755532139
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,0.18461538461538463,0.42808219178082185,0.2934131736526946,0.11,-0.24346680716543723
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,0.1692307692307693,0.40753424657534243,0.26347305389221565,0.15,-0.23830347734457313
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,0.12307692307692308,0.20205479452054792,0.18562874251497005,0.36,-0.07897787144362484
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,0.1692307692307693,0.30136986301369867,0.125748502994012,0.19,-0.13213909378292937
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,0.1692307692307693,0.30136986301369867,0.125748502994012,0.19,-0.13213909378292937
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,0.18461538461538463,0.42808219178082185,0.2934131736526946,0.11,-0.24346680716543723
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,0.1692307692307693,0.40753424657534243,0.26347305389221565,0.15,-0.23830347734457313
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,0.8615384615384618,0.15068493150684933,0.27544910179640725,0.0,0.7108535300316124
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,0.15384615384615397,0.18493150684931509,0.1497005988023952,0.08,-0.03108535300316112
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,0.8615384615384618,0.15068493150684933,0.27544910179640725,0.0,0.7108535300316124
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,5,0.15384615384615397,0.3767123287671233,0.17365269461077845,0.55,-0.22286617492096933
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,0.24615384615384617,0.3835616438356165,0.1137724550898204,0.02,-0.1374077976817703
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,5,0.13846153846153864,0.25342465753424653,0.281437125748503,0.26,-0.1149631190727079
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,0.2769230769230768,0.25342465753424653,0.1497005988023952,0.1,0.023498419388830294
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,0.32307692307692304,0.1917808219178082,0.16766467065868265,0.44,0.13129610115911483
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,0.2923076923076924,0.14383561643835616,0.1197604790419162,0.47,0.14847207586933622
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4,0.15384615384615397,0.273972602739726,1.0,1.0,-0.12012644889357205
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,0.2615384615384615,0.3287671232876712,0.125748502994012,0.03,-0.06722866174920972
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,0.2615384615384615,0.3287671232876712,0.125748502994012,0.03,-0.06722866174920972
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,0.32307692307692304,0.21232876712328763,0.2335329341317365,0.42,0.11074815595363541
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,0.32307692307692304,0.21232876712328763,0.2275449101796407,0.42,0.11074815595363541
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,0.32307692307692304,0.21232876712328763,0.2335329341317365,0.42,0.11074815595363541
